NROBARRIO;BARRIO;CODBA;DESC_LINEA;COD_VARIAN;COD_LINEA;COD_SUBLIN;codvariantLineas;DESC_LINEA_1;DESC_SUBLI
35;CERRO;CO;L12;7561;484;913;7561;L12;DIQUE NACIONAL - PUNTAS DE SAYAGO
35;CERRO;CO;124;647;41;79;647;124;CIUDAD VIEJA - STA.CATALINA
35;CERRO;CO;133;770;50;101;770;133;CIUDAD VIEJA - SANGUINETTI
35;CERRO;CO;137;796;55;107;796;137;ADUANA - PASO DE LA ARENA (NOC.)
35;CERRO;CO;137;815;55;108;815;137;PLAZA ESPAÃ?A - PASO DE LA ARENA
35;CERRO;CO;185;1330;88;170;1330;185;POCITOS - FRIG.NACIONAL
35;CERRO;CO;185;1337;88;171;1337;185;POCITOS - NVO.CASABO
35;CERRO;CO;186;1354;89;172;1354;186;POCITOS - STA. CATALINA
35;CERRO;CO;L6;1583;118;216;1583;L6;TERMINAL CERRO - PASO DE LA ARENA
35;CERRO;CO;306;1761;129;233;1761;306;PQUE ROOSEVELT - CASABO
35;CERRO;CO;L9;2072;159;279;2072;L9;TERMINAL DEL CERRO - CASABO
35;CERRO;CO;L15;2073;160;280;2073;L15;TERMINAL DEL CERRO - PAJAS BLANCAS
35;CERRO;CO;L23;2082;164;284;2082;L23;TERMINAL DEL CERRO - SANTA CATALINA
35;CERRO;CO;L7;2356;13;323;2356;L7;TERMINAL CERRO - SAINT BOIS
35;CERRO;CO;L37;2383;216;327;2383;L37;PASO DE LA ARENA - TERMINAL CERO
35;CERRO;CO;L15;2611;160;343;2611;L15;TERMINAL CERRO - PAJAS BLANCAS(ESPECIAL)
35;CERRO;CO;124;2640;41;702;2640;124;CIUDAD VIEJA - STA. CATALINA-NOCT
35;CERRO;CO;137;2973;55;741;2973;137;ADUANA - PASO DE LA ARENA(NOC- CERRO)
35;CERRO;CO;137;2981;55;742;2981;137;PLAZA ESPAÃ?A - PASO ARENA (NOC. T.CERRO)
35;CERRO;CO;133;2983;50;743;2983;133;ADUANA - PAJAS BLANCAS
35;CERRO;CO;133;2985;50;744;2985;133;ADUANA - SANGUINETTI
35;CERRO;CO;133;2992;50;745;2992;133;ADUANA - PAJAS BLANCAS (ESPECIAL)
35;CERRO;CO;306;3022;129;753;3022;306;PQUE ROOSEVELT - CASABO (POR MAROÃ?AS)
35;CERRO;CO;L15;3043;160;758;3043;L15;TERMINAL DEL CERRO - LA COLORADA
35;CERRO;CO;133;3045;50;759;3045;133;ADUANA - LA COLORADA (CIRCULAR)
35;CERRO;CO;133;3048;50;760;3048;133;CIUDAD VIEJA - LA COLORADA
35;CERRO;CO;306;3088;129;770;3088;306;CASABO - PTE CARRASCO
35;CERRO;CO;306;3123;129;771;3123;306;CASABO - CRIOLLA ROOSEVELT
35;CERRO;CO;137;3265;55;788;3265;137;ADUANA - PASO DE LA ARENA POR (TC)
35;CERRO;CO;137;3266;55;789;3266;137;PLAZA ESPAÃ?Â?A - PASO DE LA ARENA POR (TC)
35;CERRO;CO;185;3269;88;792;3269;185;POCITOS - NVO CASABO POR (TC)
35;CERRO;CO;306;3270;129;793;3270;306;PQUE ROOSEVELT - CASABO POR (TC)
35;CERRO;CO;306;3271;129;794;3271;306;CASABO - PTE CARRASCO POR (TC)
35;CERRO;CO;306;3272;129;795;3272;306;PQUE ROOSEVELT - CASABO POR MAROÃ?Â?AS Y TC
35;CERRO;CO;186;3311;89;799;3311;186;POCITOS SANTA CATALINA (06:00 A 20:00)
35;CERRO;CO;L7;3658;13;858;3658;L7;TERMINAL CERRO - SAINT BOIS(POR COTRAVI)
35;CERRO;CO;L15;7449;160;893;7449;L15;T. DEL CERRO - LA COLORADA (CIRCULAR)
35;CERRO;CO;133;7451;50;894;7451;133;CIUDAD VIEJA - LA COLORADA (CIRCULAR)
35;CERRO;CO;133;7453;50;895;7453;133;ADUANA - LA COLORADA
35;CERRO;CO;L12;7561;484;913;7561;L12;DIQUE NACIONAL - PUNTAS DE SAYAGO
35;CERRO;CO;124;647;41;79;647;124;CIUDAD VIEJA - STA.CATALINA
35;CERRO;CO;133;770;50;101;770;133;CIUDAD VIEJA - SANGUINETTI
35;CERRO;CO;137;796;55;107;796;137;ADUANA - PASO DE LA ARENA (NOC.)
35;CERRO;CO;137;815;55;108;815;137;PLAZA ESPAÃ?A - PASO DE LA ARENA
35;CERRO;CO;185;1330;88;170;1330;185;POCITOS - FRIG.NACIONAL
35;CERRO;CO;185;1337;88;171;1337;185;POCITOS - NVO.CASABO
35;CERRO;CO;186;1354;89;172;1354;186;POCITOS - STA. CATALINA
35;CERRO;CO;L6;1583;118;216;1583;L6;TERMINAL CERRO - PASO DE LA ARENA
35;CERRO;CO;306;1761;129;233;1761;306;PQUE ROOSEVELT - CASABO
35;CERRO;CO;L9;2072;159;279;2072;L9;TERMINAL DEL CERRO - CASABO
35;CERRO;CO;L15;2073;160;280;2073;L15;TERMINAL DEL CERRO - PAJAS BLANCAS
35;CERRO;CO;L23;2082;164;284;2082;L23;TERMINAL DEL CERRO - SANTA CATALINA
35;CERRO;CO;L7;2356;13;323;2356;L7;TERMINAL CERRO - SAINT BOIS
35;CERRO;CO;L37;2383;216;327;2383;L37;PASO DE LA ARENA - TERMINAL CERO
35;CERRO;CO;L15;2611;160;343;2611;L15;TERMINAL CERRO - PAJAS BLANCAS(ESPECIAL)
35;CERRO;CO;124;2640;41;702;2640;124;CIUDAD VIEJA - STA. CATALINA-NOCT
35;CERRO;CO;137;2973;55;741;2973;137;ADUANA - PASO DE LA ARENA(NOC- CERRO)
35;CERRO;CO;137;2981;55;742;2981;137;PLAZA ESPAÃ?A - PASO ARENA (NOC. T.CERRO)
35;CERRO;CO;133;2983;50;743;2983;133;ADUANA - PAJAS BLANCAS
35;CERRO;CO;133;2985;50;744;2985;133;ADUANA - SANGUINETTI
35;CERRO;CO;133;2992;50;745;2992;133;ADUANA - PAJAS BLANCAS (ESPECIAL)
35;CERRO;CO;306;3022;129;753;3022;306;PQUE ROOSEVELT - CASABO (POR MAROÃ?AS)
35;CERRO;CO;L15;3043;160;758;3043;L15;TERMINAL DEL CERRO - LA COLORADA
35;CERRO;CO;133;3045;50;759;3045;133;ADUANA - LA COLORADA (CIRCULAR)
35;CERRO;CO;133;3048;50;760;3048;133;CIUDAD VIEJA - LA COLORADA
35;CERRO;CO;306;3088;129;770;3088;306;CASABO - PTE CARRASCO
35;CERRO;CO;306;3123;129;771;3123;306;CASABO - CRIOLLA ROOSEVELT
35;CERRO;CO;137;3265;55;788;3265;137;ADUANA - PASO DE LA ARENA POR (TC)
35;CERRO;CO;137;3266;55;789;3266;137;PLAZA ESPAÃ?Â?A - PASO DE LA ARENA POR (TC)
35;CERRO;CO;185;3269;88;792;3269;185;POCITOS - NVO CASABO POR (TC)
35;CERRO;CO;306;3270;129;793;3270;306;PQUE ROOSEVELT - CASABO POR (TC)
35;CERRO;CO;306;3271;129;794;3271;306;CASABO - PTE CARRASCO POR (TC)
35;CERRO;CO;306;3272;129;795;3272;306;PQUE ROOSEVELT - CASABO POR MAROÃ?Â?AS Y TC
35;CERRO;CO;186;3311;89;799;3311;186;POCITOS SANTA CATALINA (06:00 A 20:00)
35;CERRO;CO;L7;3658;13;858;3658;L7;TERMINAL CERRO - SAINT BOIS(POR COTRAVI)
35;CERRO;CO;L15;7449;160;893;7449;L15;T. DEL CERRO - LA COLORADA (CIRCULAR)
35;CERRO;CO;133;7451;50;894;7451;133;CIUDAD VIEJA - LA COLORADA (CIRCULAR)
35;CERRO;CO;133;7453;50;895;7453;133;ADUANA - LA COLORADA
35;CERRO;CO;L12;7561;484;913;7561;L12;DIQUE NACIONAL - PUNTAS DE SAYAGO
35;CERRO;CO;124;647;41;79;647;124;CIUDAD VIEJA - STA.CATALINA
35;CERRO;CO;133;770;50;101;770;133;CIUDAD VIEJA - SANGUINETTI
35;CERRO;CO;137;796;55;107;796;137;ADUANA - PASO DE LA ARENA (NOC.)
35;CERRO;CO;137;815;55;108;815;137;PLAZA ESPAÃ?A - PASO DE LA ARENA
35;CERRO;CO;185;1330;88;170;1330;185;POCITOS - FRIG.NACIONAL
35;CERRO;CO;185;1337;88;171;1337;185;POCITOS - NVO.CASABO
35;CERRO;CO;186;1354;89;172;1354;186;POCITOS - STA. CATALINA
35;CERRO;CO;L15;2073;160;280;2073;L15;TERMINAL DEL CERRO - PAJAS BLANCAS
35;CERRO;CO;L23;2082;164;284;2082;L23;TERMINAL DEL CERRO - SANTA CATALINA
35;CERRO;CO;L7;2356;13;323;2356;L7;TERMINAL CERRO - SAINT BOIS
35;CERRO;CO;L37;2383;216;327;2383;L37;PASO DE LA ARENA - TERMINAL CERO
35;CERRO;CO;L15;2611;160;343;2611;L15;TERMINAL CERRO - PAJAS BLANCAS(ESPECIAL)
35;CERRO;CO;124;2640;41;702;2640;124;CIUDAD VIEJA - STA. CATALINA-NOCT
35;CERRO;CO;137;2973;55;741;2973;137;ADUANA - PASO DE LA ARENA(NOC- CERRO)
35;CERRO;CO;137;2981;55;742;2981;137;PLAZA ESPAÃ?A - PASO ARENA (NOC. T.CERRO)
35;CERRO;CO;133;2983;50;743;2983;133;ADUANA - PAJAS BLANCAS
35;CERRO;CO;133;2985;50;744;2985;133;ADUANA - SANGUINETTI
35;CERRO;CO;133;2992;50;745;2992;133;ADUANA - PAJAS BLANCAS (ESPECIAL)
35;CERRO;CO;L15;3043;160;758;3043;L15;TERMINAL DEL CERRO - LA COLORADA
35;CERRO;CO;133;3045;50;759;3045;133;ADUANA - LA COLORADA (CIRCULAR)
35;CERRO;CO;133;3048;50;760;3048;133;CIUDAD VIEJA - LA COLORADA
35;CERRO;CO;137;3265;55;788;3265;137;ADUANA - PASO DE LA ARENA POR (TC)
35;CERRO;CO;137;3266;55;789;3266;137;PLAZA ESPAÃ?Â?A - PASO DE LA ARENA POR (TC)
35;CERRO;CO;185;3269;88;792;3269;185;POCITOS - NVO CASABO POR (TC)
35;CERRO;CO;186;3311;89;799;3311;186;POCITOS SANTA CATALINA (06:00 A 20:00)
35;CERRO;CO;L7;3658;13;858;3658;L7;TERMINAL CERRO - SAINT BOIS(POR COTRAVI)
35;CERRO;CO;L15;7449;160;893;7449;L15;T. DEL CERRO - LA COLORADA (CIRCULAR)
35;CERRO;CO;133;7451;50;894;7451;133;CIUDAD VIEJA - LA COLORADA (CIRCULAR)
35;CERRO;CO;133;7453;50;895;7453;133;ADUANA - LA COLORADA
35;CERRO;CO;L12;7561;484;913;7561;L12;DIQUE NACIONAL - PUNTAS DE SAYAGO
35;CERRO;CO;124;647;41;79;647;124;CIUDAD VIEJA - STA.CATALINA
35;CERRO;CO;133;770;50;101;770;133;CIUDAD VIEJA - SANGUINETTI
35;CERRO;CO;137;796;55;107;796;137;ADUANA - PASO DE LA ARENA (NOC.)
35;CERRO;CO;137;815;55;108;815;137;PLAZA ESPAÃ?A - PASO DE LA ARENA
35;CERRO;CO;185;1330;88;170;1330;185;POCITOS - FRIG.NACIONAL
35;CERRO;CO;185;1337;88;171;1337;185;POCITOS - NVO.CASABO
35;CERRO;CO;186;1354;89;172;1354;186;POCITOS - STA. CATALINA
35;CERRO;CO;L15;2073;160;280;2073;L15;TERMINAL DEL CERRO - PAJAS BLANCAS
35;CERRO;CO;L23;2082;164;284;2082;L23;TERMINAL DEL CERRO - SANTA CATALINA
35;CERRO;CO;L7;2356;13;323;2356;L7;TERMINAL CERRO - SAINT BOIS
35;CERRO;CO;L37;2383;216;327;2383;L37;PASO DE LA ARENA - TERMINAL CERO
35;CERRO;CO;L15;2611;160;343;2611;L15;TERMINAL CERRO - PAJAS BLANCAS(ESPECIAL)
35;CERRO;CO;124;2640;41;702;2640;124;CIUDAD VIEJA - STA. CATALINA-NOCT
35;CERRO;CO;137;2973;55;741;2973;137;ADUANA - PASO DE LA ARENA(NOC- CERRO)
35;CERRO;CO;137;2981;55;742;2981;137;PLAZA ESPAÃ?A - PASO ARENA (NOC. T.CERRO)
35;CERRO;CO;133;2983;50;743;2983;133;ADUANA - PAJAS BLANCAS
35;CERRO;CO;133;2985;50;744;2985;133;ADUANA - SANGUINETTI
35;CERRO;CO;133;2992;50;745;2992;133;ADUANA - PAJAS BLANCAS (ESPECIAL)
35;CERRO;CO;L15;3043;160;758;3043;L15;TERMINAL DEL CERRO - LA COLORADA
35;CERRO;CO;133;3045;50;759;3045;133;ADUANA - LA COLORADA (CIRCULAR)
35;CERRO;CO;133;3048;50;760;3048;133;CIUDAD VIEJA - LA COLORADA
35;CERRO;CO;137;3265;55;788;3265;137;ADUANA - PASO DE LA ARENA POR (TC)
35;CERRO;CO;137;3266;55;789;3266;137;PLAZA ESPAÃ?Â?A - PASO DE LA ARENA POR (TC)
35;CERRO;CO;185;3269;88;792;3269;185;POCITOS - NVO CASABO POR (TC)
35;CERRO;CO;186;3311;89;799;3311;186;POCITOS SANTA CATALINA (06:00 A 20:00)
35;CERRO;CO;L7;3658;13;858;3658;L7;TERMINAL CERRO - SAINT BOIS(POR COTRAVI)
35;CERRO;CO;L15;7449;160;893;7449;L15;T. DEL CERRO - LA COLORADA (CIRCULAR)
35;CERRO;CO;133;7451;50;894;7451;133;CIUDAD VIEJA - LA COLORADA (CIRCULAR)
35;CERRO;CO;133;7453;50;895;7453;133;ADUANA - LA COLORADA
35;CERRO;CO;L12;7561;484;913;7561;L12;DIQUE NACIONAL - PUNTAS DE SAYAGO
35;CERRO;CO;124;647;41;79;647;124;CIUDAD VIEJA - STA.CATALINA
35;CERRO;CO;133;770;50;101;770;133;CIUDAD VIEJA - SANGUINETTI
35;CERRO;CO;137;796;55;107;796;137;ADUANA - PASO DE LA ARENA (NOC.)
35;CERRO;CO;137;815;55;108;815;137;PLAZA ESPAÃ?A - PASO DE LA ARENA
35;CERRO;CO;185;1330;88;170;1330;185;POCITOS - FRIG.NACIONAL
35;CERRO;CO;185;1337;88;171;1337;185;POCITOS - NVO.CASABO
35;CERRO;CO;186;1354;89;172;1354;186;POCITOS - STA. CATALINA
35;CERRO;CO;L15;2073;160;280;2073;L15;TERMINAL DEL CERRO - PAJAS BLANCAS
35;CERRO;CO;L23;2082;164;284;2082;L23;TERMINAL DEL CERRO - SANTA CATALINA
35;CERRO;CO;L7;2356;13;323;2356;L7;TERMINAL CERRO - SAINT BOIS
35;CERRO;CO;L37;2383;216;327;2383;L37;PASO DE LA ARENA - TERMINAL CERO
35;CERRO;CO;L15;2611;160;343;2611;L15;TERMINAL CERRO - PAJAS BLANCAS(ESPECIAL)
35;CERRO;CO;124;2640;41;702;2640;124;CIUDAD VIEJA - STA. CATALINA-NOCT
35;CERRO;CO;137;2973;55;741;2973;137;ADUANA - PASO DE LA ARENA(NOC- CERRO)
35;CERRO;CO;137;2981;55;742;2981;137;PLAZA ESPAÃ?A - PASO ARENA (NOC. T.CERRO)
35;CERRO;CO;133;2983;50;743;2983;133;ADUANA - PAJAS BLANCAS
35;CERRO;CO;133;2985;50;744;2985;133;ADUANA - SANGUINETTI
35;CERRO;CO;133;2992;50;745;2992;133;ADUANA - PAJAS BLANCAS (ESPECIAL)
35;CERRO;CO;L15;3043;160;758;3043;L15;TERMINAL DEL CERRO - LA COLORADA
35;CERRO;CO;133;3045;50;759;3045;133;ADUANA - LA COLORADA (CIRCULAR)
35;CERRO;CO;133;3048;50;760;3048;133;CIUDAD VIEJA - LA COLORADA
35;CERRO;CO;137;3265;55;788;3265;137;ADUANA - PASO DE LA ARENA POR (TC)
35;CERRO;CO;137;3266;55;789;3266;137;PLAZA ESPAÃ?Â?A - PASO DE LA ARENA POR (TC)
35;CERRO;CO;185;3269;88;792;3269;185;POCITOS - NVO CASABO POR (TC)
35;CERRO;CO;186;3311;89;799;3311;186;POCITOS SANTA CATALINA (06:00 A 20:00)
35;CERRO;CO;L7;3658;13;858;3658;L7;TERMINAL CERRO - SAINT BOIS(POR COTRAVI)
35;CERRO;CO;L15;7449;160;893;7449;L15;T. DEL CERRO - LA COLORADA (CIRCULAR)
35;CERRO;CO;133;7451;50;894;7451;133;CIUDAD VIEJA - LA COLORADA (CIRCULAR)
35;CERRO;CO;133;7453;50;895;7453;133;ADUANA - LA COLORADA
35;CERRO;CO;L12;7561;484;913;7561;L12;DIQUE NACIONAL - PUNTAS DE SAYAGO
35;CERRO;CO;L6;1584;118;216;1584;L6;TERMINAL CERRO - PASO DE LA ARENA
35;CERRO;CO;133;770;50;101;770;133;CIUDAD VIEJA - SANGUINETTI
35;CERRO;CO;195;1428;94;179;1428;195;BUCEO - PLAYA CERRO (DIQUE)
35;CERRO;CO;L6;1583;118;216;1583;L6;TERMINAL CERRO - PASO DE LA ARENA
35;CERRO;CO;370;1744;134;241;1744;370;PORTONES - DIQUE NACIONAL
35;CERRO;CO;L9;2072;159;279;2072;L9;TERMINAL DEL CERRO - CASABO
35;CERRO;CO;L15;2073;160;280;2073;L15;TERMINAL DEL CERRO - PAJAS BLANCAS
35;CERRO;CO;L18;2078;162;282;2078;L18;TERMINAL DEL CERRO - PLAYA CERRO
35;CERRO;CO;L26;2084;165;285;2084;L26;TERMINAL DEL CERRO - CASABO
35;CERRO;CO;126;2092;44;290;2092;126;CIUDAD VIEJA - CASABO (4:30-9:00)
35;CERRO;CO;L15;2611;160;343;2611;L15;TERMINAL CERRO - PAJAS BLANCAS(ESPECIAL)
35;CERRO;CO;133;2983;50;743;2983;133;ADUANA - PAJAS BLANCAS
35;CERRO;CO;133;2985;50;744;2985;133;ADUANA - SANGUINETTI
35;CERRO;CO;133;2992;50;745;2992;133;ADUANA - PAJAS BLANCAS (ESPECIAL)
35;CERRO;CO;L15;3043;160;758;3043;L15;TERMINAL DEL CERRO - LA COLORADA
35;CERRO;CO;133;3045;50;759;3045;133;ADUANA - LA COLORADA (CIRCULAR)
35;CERRO;CO;133;3048;50;760;3048;133;CIUDAD VIEJA - LA COLORADA
35;CERRO;CO;195;3081;94;769;3081;195;PLAYA CERRO - PQUE ROOSEVELT
35;CERRO;CO;195;7343;94;881;7343;195;BUCEO - PLAYA CERRO (DIQUE) POR MAROÃ?AS
35;CERRO;CO;L15;7449;160;893;7449;L15;T. DEL CERRO - LA COLORADA (CIRCULAR)
35;CERRO;CO;133;7451;50;894;7451;133;CIUDAD VIEJA - LA COLORADA (CIRCULAR)
35;CERRO;CO;133;7453;50;895;7453;133;ADUANA - LA COLORADA
35;CERRO;CO;76;7512;480;906;7512;76;PUNTA CARRETAS - PLAYA CERRO
35;CERRO;CO;125;666;43;83;666;125;CIUDAD VIEJA -   DIQUE NACIONAL
35;CERRO;CO;L17;2076;161;281;2076;L17;TERMINAL DEL CERRO - DIQUE
35;CERRO;CO;L12;7562;484;913;7562;L12;DIQUE NACIONAL - PUNTAS DE SAYAGO
35;CERRO;CO;125;666;43;83;666;125;CIUDAD VIEJA -   DIQUE NACIONAL
35;CERRO;CO;L17;2076;161;281;2076;L17;TERMINAL DEL CERRO - DIQUE
35;CERRO;CO;L12;7562;484;913;7562;L12;DIQUE NACIONAL - PUNTAS DE SAYAGO
35;CERRO;CO;125;666;43;83;666;125;CIUDAD VIEJA -   DIQUE NACIONAL
35;CERRO;CO;L17;2076;161;281;2076;L17;TERMINAL DEL CERRO - DIQUE
35;CERRO;CO;L12;7562;484;913;7562;L12;DIQUE NACIONAL - PUNTAS DE SAYAGO
35;CERRO;CO;125;666;43;83;666;125;CIUDAD VIEJA -   DIQUE NACIONAL
35;CERRO;CO;L17;2076;161;281;2076;L17;TERMINAL DEL CERRO - DIQUE
35;CERRO;CO;L12;7562;484;913;7562;L12;DIQUE NACIONAL - PUNTAS DE SAYAGO
35;CERRO;CO;125;666;43;83;666;125;CIUDAD VIEJA -   DIQUE NACIONAL
35;CERRO;CO;L17;2076;161;281;2076;L17;TERMINAL DEL CERRO - DIQUE
35;CERRO;CO;L12;7562;484;913;7562;L12;DIQUE NACIONAL - PUNTAS DE SAYAGO
35;CERRO;CO;125;666;43;83;666;125;CIUDAD VIEJA -   DIQUE NACIONAL
35;CERRO;CO;L17;2076;161;281;2076;L17;TERMINAL DEL CERRO - DIQUE
35;CERRO;CO;L12;7562;484;913;7562;L12;DIQUE NACIONAL - PUNTAS DE SAYAGO
35;CERRO;CO;125;666;43;83;666;125;CIUDAD VIEJA -   DIQUE NACIONAL
35;CERRO;CO;L17;2076;161;281;2076;L17;TERMINAL DEL CERRO - DIQUE
35;CERRO;CO;L12;7562;484;913;7562;L12;DIQUE NACIONAL - PUNTAS DE SAYAGO
35;CERRO;CO;125;666;43;83;666;125;CIUDAD VIEJA -   DIQUE NACIONAL
35;CERRO;CO;L17;2076;161;281;2076;L17;TERMINAL DEL CERRO - DIQUE
35;CERRO;CO;L12;7562;484;913;7562;L12;DIQUE NACIONAL - PUNTAS DE SAYAGO
35;CERRO;CO;125;666;43;83;666;125;CIUDAD VIEJA -   DIQUE NACIONAL
35;CERRO;CO;L17;2076;161;281;2076;L17;TERMINAL DEL CERRO - DIQUE
35;CERRO;CO;L12;7562;484;913;7562;L12;DIQUE NACIONAL - PUNTAS DE SAYAGO
35;CERRO;CO;125;666;43;83;666;125;CIUDAD VIEJA -   DIQUE NACIONAL
35;CERRO;CO;L17;2076;161;281;2076;L17;TERMINAL DEL CERRO - DIQUE
35;CERRO;CO;L12;7562;484;913;7562;L12;DIQUE NACIONAL - PUNTAS DE SAYAGO
35;CERRO;CO;125;666;43;83;666;125;CIUDAD VIEJA -   DIQUE NACIONAL
